id,name,price,sale_price,picture,description,stock,size,likes
1,Adidas B2B,298.17,253.44,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Run_It_3_Stripes_Astro_Pants_Grey_FL6968_25_model.jpg,Molestiae cumque quos numquam expedita et.,1,x-small,false
2,Adidas value-added,285.81,242.94,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Zeno_Big_Trefoil_Shorts_Black_GD0984_21_model.jpg,At adipisci et ipsam ut reiciendis.,0,x-small,true
3,Adidas compelling,59.32,50.42,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Shorts_Green_FL5831_21_model.jpg,Corrupti quam alias quidem ut velit.,1,small,true
4,Adidas seamless,409.94,348.45,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Shorts_Green_FL5831_21_model.jpg,Aut omnis tempora sint at dicta voluptatem suscipit.,0,small,false
5,Adidas proactive,175.20,148.92,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Run_It_3_Stripes_Astro_Pants_Grey_FL6968_25_model.jpg,Qui quis magni id dolor aperiam repellat hic.,0,medium,false
6,Adidas integrated,370.64,315.04,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Zeno_Big_Trefoil_Shorts_Black_GD0984_21_model.jpg,Perferendis totam rerum.,0,small,true
7,Adidas enterprise,155.57,132.23,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Shorts_Green_FL5831_21_model.jpg,Eum aut id temporibus ut assumenda.,1,,false
8,Adidas holistic,124.12,105.5,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Run_It_3_Stripes_Astro_Pants_Grey_FL6968_25_model.jpg,Vel atque qui iusto.,1,large,true
9,Adidas cross-media,307.44,261.32,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_25_model.jpg,Ducimus eum repellat laborum quia et sunt adipisci dolores iste.,1,medium,true
10,Adidas 24/7,169.57,144.13,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Zeno_Big_Trefoil_Shorts_Black_GD0984_21_model.jpg,Autem quis aut eum laudantium animi ut quibusdam quod.,1,x-small,true
11,Adidas intuitive,91.66,77.91,,Dicta exercitationem at consectetur.,1,,false
12,Adidas turn-key,457.61,388.97,,Voluptatem et incidunt architecto cum id.,0,medium,true
13,Adidas rich,251.59,213.85,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Run_It_3_Stripes_Astro_Pants_Grey_FL6968_25_model.jpg,Quos eveniet dignissimos aperiam aliquid.,1,x-small,false
14,Adidas user-centric,443.65,377.1,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_21_model.jpg,Dignissimos commodi nisi eligendi.,1,large,true
15,Adidas turn-key,108.64,92.34,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Run_It_3_Stripes_Astro_Pants_Grey_FL6968_25_model.jpg,Qui aliquam qui et nulla iusto vero aperiam.,0,x-large,true
