id,name,price,sale_price,picture,description,stock,size,likes
1,Adidas sticky,337.96,287.27,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/Adilette_Cloudfoam_Slides_Grey_B42212_01_standard.jpg,Voluptatum beatae qui qui porro aut aut natus.,0,,false
2,Adidas enterprise,119.76,101.8,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/NMD_R1_Shoes_Black_B42200_01_standard.jpg,Earum tenetur aliquid.,1,,true
3,Adidas holistic,196.50,167.03,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/Swift_Run_Shoes_Blue_EF5441_01_standard.jpg,Esse autem expedita.,1,large,false
4,Adidas turn-key,247.58,210.44,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/4D_Run_1.0_Shoes_White_FW1233_01_standard.jpg,Et quidem labore est aspernatur velit non corrupti at.,1,x-small,false
5,Adidas 24/365,116.25,98.81,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/Adilette_Cloudfoam_Slides_Grey_B42212_01_standard.jpg,Enim iste et consequatur alias.,0,,false
6,Adidas killer,59.38,50.47,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/NMD_R1_Shoes_White_FV7852_01_standard.jpg,Nesciunt cumque explicabo et qui.,0,,true
7,Adidas collaborative,369.17,313.79,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/NMD_R1_Shoes_Black_B42200_01_standard.jpg,Qui eum aliquid.,1,small,true
8,Adidas e-business,70.22,59.69,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/NMD_R1_Shoes_Black_B42200_01_standard.jpg,Eius eum enim sit esse qui totam nemo at.,0,small,false
9,Adidas extensible,113.05,96.09,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/4D_Run_1.0_Shoes_White_FW1233_01_standard.jpg,Aut labore ut sunt.,1,large,false
10,Adidas sexy,261.66,222.41,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/4D_Run_1.0_Shoes_White_FW1233_01_standard.jpg,Rem perspiciatis omnis sint officiis facilis officia maxime.,0,,false
11,Adidas best-of-breed,466.37,396.41,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/Adilette_Cloudfoam_Slides_Grey_B42212_01_standard.jpg,Qui tenetur pariatur ipsa occaecati.,0,x-small,true
12,Adidas real-time,159.69,135.74,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/NMD_R1_Shoes_Black_B42200_01_standard.jpg,Necessitatibus ipsa qui dolorem.,1,large,false
13,Adidas web-enabled,105.25,89.46,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/NMD_R1_Shoes_Black_B42200_01_standard.jpg,Autem voluptatem unde unde.,0,large,true
14,Adidas compelling,132.81,112.89,,Necessitatibus mollitia enim.,0,x-small,true
15,Adidas transparent,277.64,235.99,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/NMD_R1_Shoes_Black_B42200_01_standard.jpg,Qui quia ipsam quis delectus asperiores sed odit tenetur.,0,medium,true
16,Adidas global,315.00,267.75,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/4D_Run_1.0_Shoes_White_FW1233_01_standard.jpg,Officiis saepe excepturi.,1,,true
17,Adidas impactful,24.41,20.75,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/Swift_Run_Shoes_Blue_EF5441_01_standard.jpg,Omnis perferendis ratione rerum ut et facere alias nostrum rem.,0,medium,true
18,Adidas turn-key,118.28,100.54,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/4D_Run_1.0_Shoes_White_FW1233_01_standard.jpg,Eveniet quibusdam culpa rerum ipsam qui et.,1,medium,true
19,Adidas bricks-and-clicks,125.37,106.56,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/Swift_Run_Shoes_Blue_EF5441_01_standard.jpg,Aut numquam molestias cumque.,0,,true
20,Adidas next-generation,358.97,305.12,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/4D_Run_1.0_Shoes_White_FW1233_01_standard.jpg,Voluptates et doloremque nihil.,1,x-large,false
21,Adidas back-end,333.35,283.35,,Sequi in voluptas.,0,large,false
22,Adidas granular,217.82,185.15,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/related/4D_Run_1.0_Shoes_White_FW1233_01_standard.jpg,Dolores et dicta optio nihil.,0,x-large,false
