id,name,price,sale_price,picture,description,stock,size,likes
1,Adidas synergistic,66.62,56.63,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_25_model.jpg,Dolore quo corporis.,0,,false
2,Adidas B2B,486.09,413.18,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_25_model.jpg,Placeat ratione omnis quo quaerat fugit.,1,medium,true
3,Adidas best-of-breed,330.68,281.08,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Zeno_Big_Trefoil_Shorts_Black_GD0984_21_model.jpg,Perspiciatis deserunt molestiae nostrum maiores quod temporibus et.,0,large,false
4,Adidas end-to-end,372.61,316.72,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_21_model.jpg,Aliquam temporibus ut odio quibusdam sit rerum eveniet.,1,large,false
5,Adidas wireless,120.40,102.34,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_21_model.jpg,Culpa nesciunt in id aut et incidunt.,1,,false
6,Adidas user-centric,362.73,308.32,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Shorts_Green_FL5831_21_model.jpg,Quis quo esse est velit maxime doloremque in ut autem.,1,,true
7,Adidas interactive,348.81,296.49,,Adipisci quas nihil optio dolorem et facere velit dicta dignissimos.,1,x-small,false
8,Adidas proactive,402.66,342.26,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Zeno_Big_Trefoil_Shorts_Black_GD0984_21_model.jpg,At facere consequatur consectetur fugit.,1,large,true
9,Adidas cutting-edge,36.31,30.86,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_21_model.jpg,Molestiae odit labore rem magni enim accusantium.,1,x-small,true
10,Adidas 24/7,151.09,128.43,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_21_model.jpg,Omnis et consequatur rerum quia hic ut quae.,1,medium,false
11,Adidas viral,84.09,71.48,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_21_model.jpg,Iste ipsa vero numquam et sed consequatur.,1,medium,false
12,Adidas compelling,492.73,418.82,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Run_It_3_Stripes_Astro_Pants_Grey_FL6968_25_model.jpg,Qui quis laborum perspiciatis vero asperiores.,0,x-small,false
13,Adidas mission-critical,162.89,138.46,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Zeno_Big_Trefoil_Shorts_Black_GD0984_21_model.jpg,Cumque debitis consequuntur animi voluptatibus esse asperiores eius.,1,large,true
14,Adidas clicks-and-mortar,166.54,141.56,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_21_model.jpg,Sequi unde sunt sint facere debitis.,1,x-large,true
15,Adidas seamless,312.78,265.86,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Shorts_Green_FL5831_21_model.jpg,Alias tenetur earum sapiente eum saepe praesentium.,0,small,false
16,Adidas integrated,264.48,224.81,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Zeno_Big_Trefoil_Shorts_Black_GD0984_21_model.jpg,Id maxime cum enim.,1,x-large,true
17,Adidas magnetic,405.83,344.96,,Vel sint autem et.,0,medium,true
18,Adidas e-business,59.35,50.45,,Animi aut qui aspernatur atque veniam maxime voluptatem et.,1,small,true
19,Adidas strategic,335.29,285,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Shorts_Green_FL5831_21_model.jpg,Numquam veritatis facilis et delectus.,0,large,true
20,Adidas B2C,359.28,305.39,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Zeno_Big_Trefoil_Shorts_Black_GD0984_21_model.jpg,Natus laboriosam enim cum.,1,,false
21,Adidas 24/365,393.95,334.86,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Zeno_Big_Trefoil_Shorts_Black_GD0984_21_model.jpg,In id eveniet.,1,medium,false
22,Adidas virtual,397.78,338.11,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_25_model.jpg,Accusamus necessitatibus sed eum consequatur tenetur harum quo dolor dignissimos.,1,small,true
23,Adidas web-enabled,250.05,212.54,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Zeno_Big_Trefoil_Shorts_Black_GD0984_21_model.jpg,Quia harum aut est cumque at adipisci ut nam ut.,0,x-large,true
24,Adidas e-business,372.18,316.35,https://sdc-adida-related-info.s3-us-west-1.amazonaws.com/male/bottom/Ultimate365_Classic_Pants_Black_DQ2217_25_model.jpg,Est praesentium velit sit laborum exercitationem in eveniet dolorem nisi.,1,medium,true
